Country,Disaster Type,Total Deaths,Disaster_Occurred
Canada,Air,24.0,1
Canada,Rail,12.0,1
Japan,Earthquake,1400.0,1
Japan,Flood,990.0,1
Portugal,Air,13.0,1
Brazil,Air,19.0,1
United States Of America,Air,19.0,1
Peru,Air,14.0,1
Canada,Air,19.0,1
United States Of America,Air,10.0,1
Portugal,Air,24.0,1
France,Air,17.0,1
United States Of America,Air,20.0,1
Sudan,Air,17.0,1
Sudan,Air,16.0,1
Ireland,Air,10.0,1
United States Of America,Air,20.0,1
Romania,Air,10.0,1
India,Air,20.0,1
Brazil,Air,18.0,1
United States Of America,Air,22.0,1
United States Of America,Air,25.0,1
United States Of America,Air,15.0,1
United States Of America,Air,20.0,1
Sweden,Air,13.0,1
United States Of America,Air,25.0,1
Türkiye,Earthquake,285.0,1
Yugoslavia,Earthquake,19.0,1
Türkiye,Earthquake,285.0,1
Türkiye,Earthquake,550.0,1
Bangladesh,Drought,1900000.0,1
United States Of America,Fire (Miscellaneous),163.0,1
Argentina,Earthquake,10000.0,1
Türkiye,Earthquake,3959.0,1
Spain,Rail,500.0,1
India,Storm,304.0,1
Pakistan,Storm,,1
Jamaica,Storm,32.0,1
United States Of America,Storm,390.0,1
Türkiye,Earthquake,27.0,1
Cuba,Storm,,1
United States Of America,Wildfire,121.0,1
Italy,Rail,521.0,1
United States Of America,Air,24.0,1
Greece,Air,16.0,1
Japan,Earthquake,1223.0,1
Libya,Infestation,,1
Australia,Wildfire,49.0,1
India,Air,14.0,1
France,Air,22.0,1
Brazil,Air,10.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,22.0,1
United States Of America,Air,28.0,1
Cuba,Air,17.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,20.0,1
Brazil,Air,16.0,1
Brazil,Air,17.0,1
Norway,Air,15.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,24.0,1
United States Of America,Air,24.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,25.0,1
Sweden,Air,10.0,1
Italy,Volcanic activity,26.0,1
Iran (Islamic Republic Of),Earthquake,20.0,1
Türkiye,Earthquake,21.0,1
Japan,Volcanic activity,,1
Japan,Storm,3746.0,1
Romania,Earthquake,,1
Bahamas,Storm,22.0,1
India,Storm,,1
Japan,Storm,451.0,1
Pakistan,Earthquake,4000.0,1
Romania,Earthquake,,1
Belgium,Epidemic,,1
United States Of America,Storm,43.0,1
United States Of America,Storm,128.0,1
United States Of America,Storm,34.0,1
Japan,Earthquake,2306.0,1
Germany Federal Republic,Rail,102.0,1
Türkiye,Earthquake,300.0,1
Iran (Islamic Republic Of),Earthquake,20.0,1
Türkiye,Earthquake,300.0,1
China,Earthquake,17.0,1
Germany,Rail,102.0,1
Algeria,Earthquake,276.0,1
Germany,Explosion (Industrial),439.0,1
Tonga,Volcanic activity,,1
Cook Islands,Storm,,1
United States Of America,Fire (Miscellaneous),119.0,1
United States Of America,Fire (Miscellaneous),61.0,1
United States Of America,Miscellaneous accident (General),33.0,1
United States Of America,Earthquake,165.0,1
Türkiye,Earthquake,840.0,1
Chile,Earthquake,2.0,1
Peru,Earthquake,1400.0,1
Japan,Earthquake,2000.0,1
United States Of America,Rail,45.0,1
Canada,Storm,17.0,1
Canada,Air,20.0,1
United States Of America,Storm,33.0,1
Dominican Republic,Earthquake,73.0,1
Azores Islands,Storm,27.0,1
Soviet Union,Earthquake,400.0,1
Philippines,Storm,260.0,1
United Kingdom Of Great Britain And Northern Ireland,Miscellaneous accident (General),33.0,1
Belgium,Explosion (Industrial),16.0,1
Canada,Air,26.0,1
Türkiye,Earthquake,12.0,1
Taiwan (Province Of China),Earthquake,58.0,1
Albania,Flood,15.0,1
Cabo Verde,Drought,30000.0,1
Iran (Islamic Republic Of),Earthquake,400.0,1
Japan,Flood,2000.0,1
United States Of America,Explosion (Industrial),561.0,1
