Country,Predicted_Disaster_Risk,Historical_Risk,Combined_Risk,Year
Turks And Caicos Islands,0.44069681456200227,37.5,0.30875269383716725,2026
Tuvalu,0.4198037542662116,12.0,0.29394740355235316,2026
Türkiye,0.48735210466439133,442.77183098591547,0.3442744926469823,2026
Uganda,0.4917292377701934,1259.311377245509,0.35310703600434545,2026
Ukraine,0.44005403868031856,35.88235294117647,0.308291322641238,2026
United Arab Emirates,0.48989192263936293,30.357142857142858,0.3431388078448881,2026
United Kingdom Of Great Britain And Northern Ireland,0.3705489192263936,123.16666666666667,0.2602543704484435,2026
United Republic Of Tanzania,0.46256825938566554,79.82352941176471,0.3243617053104991,2026
United States Of America,0.46481228668941976,53.69037294015612,0.32574790332884557,2026
United States Virgin Islands,0.49755972696245737,6.4,0.34833702250892273,2026
Uruguay,0.41827360637087596,9.590909090909092,0.29285928068850353,2026
Uzbekistan,0.47763083048919225,19.428571428571423,0.3344788370207284,2026
Vanuatu,0.45132536973833903,15.764705882352942,0.31603913063884387,2026
Venezuela (Bolivarian Republic Of),0.3662201365187713,319.0283018867925,0.25860791263514543,2026
Viet Nam,0.5065386803185438,91.58308157099698,0.3552240768543693,2026
Wallis And Futuna Islands,0.365179180887372,3.0,0.2556466205126617,2026
Yemen,0.470358361774744,58.72727272727273,0.32966573972443614,2026
Yemen Arab Republic,0.41995164960182024,571.4,0.29800288458921215,2026
